Báo CáoQuảng cáo Tìm Kiếm Sản Phẩm - Shopee Việt Nam,,,,,,,,,,,,,,,,,,,,,,,
Tên đăng nhập:,tovasa_store,,,,,,,,,,,,,,,,,,,,,,
Thời gian tạo báo cáo:,23/05/2022 9:04,,,,,,,,,,,,,,,,,,,,,,
Khoảng thời gian,01/05/2022 - 22/05/2022,,,,,,,,,,,,,,,,,,,,,,
Sản phẩm,Giày cao cổ bé trai bé gái bốt đẹp cho bé KIKNE JDA151,,,,,,,,,,,,,,,,,,,,,,
Trạng thái:,Đang chạy,,,,,,,,,,,,,,,,,,,,,,
Mã Người bán,"145598609	",,,,,,,,,,,,,,,,,,,,,,
Mã sản phẩm,"8780736071	",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Thứ tự,Từ khóa,Trạng thái,Loại từ khóa,Lệnh tìm kiếm,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,GMV,GMV trực tiếp,Chi phí,Thứ hạng trung bình,Doanh Thu/Chi Phí,ROI trực tiếp,CIR,CIR trực tiếp
"89	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,giày tập đi,3,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,5.666666667,0,0,0.00%,0.00%
"90	",giầy cho bé trai,thông thường,Từ khóa mở rộng,Sneaker bé trai,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,2,0,0,0.00%,0.00%
"91	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giay bot cho be,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%
"92	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Giày Mùa Hè,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,3,0,0,0.00%,0.00%
"93	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Giày trẻ em,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%
"94	",giày jordan cho bé trai,thông thường,Từ khóa mở rộng,giày jodan cho bé trai,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%
"95	",giày cao cổ bé gái,thông thường,Từ khóa mở rộng,giay co den cho be gai,6,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,47,0,0,0.00%,0.00%
"96	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Giày thể thao cổ thấp cho bé,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,2,0,0,0.00%,0.00%
"97	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Giày cao  cổ,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,22,0,0,0.00%,0.00%
"98	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Giày Cao cổ bé gai,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%
"99	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giầy bé trai 3 tuổi,2,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,14.5,0,0,0.00%,0.00%
"100	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,giày lưới bé,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,7,0,0,0.00%,0.00%
